"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-09-15T00:00:00.000Z""","USA"," Miami International Airport, FL (MIA)","Boeing 757-223 (WL)","N654A","American Airlines","USA","USA","Landing","Accident","",true,true,true,"","ST75",false,true,1,"Piston","","[]","RS",2014
"""2014-09-15T00:00:00.000Z""","ZAF","Piet Retief","AIR TRACTOR AT802 A","ZS-TBW","South Africa ","","ZAF","Approach","Accident",1,true,true,"","Fatal","AT8T",false,true,1,"Turboprop","","[""CTOL""]","OTH",2014
"""2014-09-15T00:00:00.000Z""","","Kunming","A320","B-1887","Sichuan",,"CHN","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-09-16T00:00:00.000Z""","","New York","E170","N823MD","Shuttle America",,"USA","","Accident","",true,true,"","","E170",false,true,2,"Jet","","[]","",2014
"""2014-09-19T00:00:00.000Z""","AUS","Wollongong","LOCKHEED SP2 H","VH-IOY","Australia ","","AUS","Standing","Accident",0,true,true,"","None","P2",false,true,2,"Piston","","[""OTHR""]","OTH",2014
"""2014-09-19T00:00:00.000Z""","AUS","Wollongong","Not mapped","VH-OVJ","Australia ","","AUS","Taxi","Accident",0,true,true,"","None","B74D",false,true,4,"Jet","","[""OTHR""]","OTH",2014
"""2014-09-19T00:00:00.000Z""","","Winnipeg","A321","C-GJWD","Air Canada",,"CAN","","Accident","",true,true,"","","A321",false,true,2,"Jet","","[]","",2014
"""2014-09-19T00:00:00.000Z""","USA"," Conroe-Lone Star Executive Airport, TX (CXO)","Embraer EMB-505 Phenom 300","N322QS","NetJets","","USA","Landing","Accident",0,true,false,false,"","E55P",false,true,2,"Jet","","[]","RS",2014
"""2014-09-20T00:00:00.000Z""","PNG","Mount Lawes","DE HAVILLAND DHC6 300","P2-KSF","Papua New Guinea ",,"PNG","En route","Accident",4,true,"","","Fatal","HERN",false,true,4,"Piston","","[""CFIT""]","CFIT",2014
"""2014-09-21T00:00:00.000Z""","EGY"," Kom Ashwin, Fayoum","Lockheed C-130H Hercules","SU-BAT/1287","Egyptian AF","","EGY","Unknown","Accident",6,true,true,false,"Fatal","C130",false,true,4,"Turboprop","","[]","OTH",2014
"""2014-09-21T00:00:00.000Z""","ESP","Madrid","AIRBUS A319","G-EZIX","United Kingdom Easyjet Airline Company Ltd","GBR","GBR","Approach","Accident","",true,true,true,"Serious","A319",false,true,2,"Jet","","[""WSTRW""]","OTH",2014
"""2014-09-21T00:00:00.000Z""","ESP","Villalcampo","CAMERON A250","EC-JUK","Spain ","","ESP","Landing","Accident",0,true,false,"","Serious","GR51",false,true,1,"Turboprop","","[""ARC""]","RS",2014
"""2014-09-21T00:00:00.000Z""","PNG","Mount hagen","BELL 206 L","P2-HCO","Singapore ",,"PNG","En route","Accident",0,false,false,"","None","EBOY",false,true,1,"Piston","","[""LALT"",""SCF-NP""]","SCF",2014
"""2014-09-24T00:00:00.000Z""","PNG","Bulago","PAC 750XL","P2-TSF","Papua New Guinea ",,"PNG","Landing","Accident",0,true,false,false,"Unknown","P750",false,true,1,"Turboprop","","[""OTHR"",""ARC""]","RS",2014
"""2014-09-24T00:00:00.000Z""","RUS"," Shoyna Airport","Antonov An-2","RA-02322","2nd Arkhangelsk United Aviation Division","","RUS","Take-off","Accident",0,true,false,true,"","AN72",false,true,2,"Jet","","[]","RS",2014
"""2014-09-25T00:00:00.000Z""","BRA","Confins Municipality, State of Minas Gerais","BOEING 737 700","PR-GOR","Brazil Gol Transportes Aereos Ltda.","","BRA","En route","Accident",0,true,true,false,"Serious","B37M",false,true,2,"Jet","","[""TURB""]","TURB",2014
